Year,Country,Gross Domestic Product (GDP),GDP Growth Rate (%),Price Inflation Rate (%)
1962,Brunei Darussalam,6442076505.0,1.555753639,1.460945065
1962,Cambodia,660000008.6,5.600001174,4.398758198
1962,China,47209186415.0,-5.57999999,4.773168146
1962,Cyprus,12913632679.0,4.88657026,0.103199174
1962,Georgia,9834973348.0,2.468894061,12.66676181
1962,India,42161481858.0,2.931127735,3.632214971
1962,Indonesia,334969000000.0,1.841977702,131.3978495
1962,"Iran, Islamic Rep.",4693566416.0,7.90926793,0.721320572
1962,Iraq,1954399498.0,7.121138889,1.292362165
1962,Israel,2510000000.0,10.15611716,9.408194068
1962,Japan,60723018684.0,8.908972996,6.835440348
1962,Jordan,13437231336.0,4.65248636,5.772380507
1962,Kazakhstan,100142000000.0,2.88125,82.35942488
1962,"Korea, Rep.",2814615385.0,3.895272531,6.618310975
1962,Kuwait,54755304666.0,4.153980922,3.995213715
1962,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1962,Lao PDR,6219585043.0,6.075047488,16.89769908
1962,Lebanon,25698059776.0,3.80501052,31.6503076
1962,Malaysia,2001489602.0,6.421029609,0.108440268
1962,Maldives,1714876941.0,5.991783374,4.888363683
1962,Mongolia,5442036507.0,4.519967418,21.93483208
1962,Myanmar,634528851.5,4.08687253,-1.612903227
1962,Nepal,574091100.7,1.910320031,7.829823384
1962,Oman,28692807353.0,8.014624442,2.111150506
1962,Pakistan,4310163797.0,4.482858627,-0.516462234
1962,Philippines,4954593072.0,4.846294189,5.796652201
1962,Qatar,55943064814.0,7.927137935,3.272968941
1962,Saudi Arabia,293432000000.0,4.996335607,3.424814804
1962,Singapore,826239211.8,7.553444181,0.41958042
1962,Sri Lanka,1434156379.0,3.818019558,1.503579953
1962,Syrian Arab Republic,1110565881.0,24.52129717,-3.846153846
1962,Tajikistan,4407068380.0,2.500033543,11.18745334
1962,Thailand,3308912797.0,7.554254448,3.696098563
1962,Timor-Leste,1236354422.0,4.942936305,4.843521556
1962,Turkiye,8922222222.0,5.571428582,3.888320251
1962,United Arab Emirates,168800000000.0,4.638126216,2.080245139
1962,Uzbekistan,36471688434.0,4.420479188,12.17375952
1962,Viet Nam,115503000000.0,6.382217698,5.772232768
1962,"Yemen, Rep.",20874604448.0,1.861577367,17.49567681
1963,Afghanistan,751111191.1,4.74796003,6.124619936
1963,Armenia,6898248878.0,3.515202551,126.8455368
1963,Azerbaijan,29420997153.0,4.000604339,108.1802041
1963,Bahrain,16101033255.0,3.808078596,3.531110669
1963,Bangladesh,5319458563.0,-0.45589429,6.27939513
1963,Bhutan,925869512.9,6.832227605,7.284395103
1963,Brunei Darussalam,6442076505.0,1.555753639,1.460945065
1963,Cambodia,728571437.1,5.600001174,4.398758198
1963,China,50706614526.0,10.3,4.773168146
1963,Cyprus,12913632679.0,4.88657026,1.958762887
1963,Georgia,9834973348.0,2.468894061,12.66676181
1963,India,48421923459.0,5.994353262,2.946161357
1963,Indonesia,334969000000.0,-2.237029984,145.9107807
1963,"Iran, Islamic Rep.",4928628018.0,7.042075229,0.371849607
1963,Iraq,1978199489.0,7.121138889,3.954957429
1963,Israel,2992333333.0,10.69571298,6.581137365
1963,Japan,69498131797.0,8.473642383,6.706905564
1963,Jordan,13437231336.0,4.65248636,5.772380507
1963,Kazakhstan,100142000000.0,2.88125,82.35942488
1963,"Korea, Rep.",3988461538.0,9.020568283,20.69164732
1963,Kuwait,54755304666.0,4.153980922,3.995213715
1963,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1963,Lao PDR,6219585043.0,6.075047488,16.89769908
1963,Lebanon,25698059776.0,3.80501052,31.6503076
1963,Malaysia,2510110348.0,7.338803527,3.105253656
1963,Maldives,1714876941.0,5.991783374,4.888363683
1963,Mongolia,5442036507.0,4.519967418,21.93483208
1963,Myanmar,598998434.7,13.34929493,-2.682563338
1963,Nepal,496947904.4,1.895111645,7.829823384
1963,Oman,28692807353.0,8.014624442,2.111150506
1963,Pakistan,4630827383.0,8.688831518,1.456488448
1963,Philippines,5505023238.0,7.016265184,5.62554937
1963,Qatar,55943064814.0,7.927137935,3.272968941
1963,Saudi Arabia,293432000000.0,4.996335607,3.424814804
1963,Singapore,917608012.5,10.04017331,2.205199629
1963,Sri Lanka,1240672269.0,2.516748594,2.2729054
1963,Syrian Arab Republic,1200447408.0,-8.652746672,1.916666667
1963,Tajikistan,4407068380.0,2.500033543,11.18745334
1963,Thailand,3540403457.0,7.999830787,4.143100876
1963,Timor-Leste,1236354422.0,4.942936305,4.843521556
1963,Turkiye,10355555556.0,9.066305552,6.362706928
1963,United Arab Emirates,168800000000.0,4.638126216,2.080245139
1963,Uzbekistan,36471688434.0,4.420479188,12.17375952
1963,Viet Nam,115503000000.0,6.382217698,5.772232768
1963,"Yemen, Rep.",20874604448.0,1.861577367,17.49567681
1964,Afghanistan,800000044.4,4.74796003,6.124619936
1964,Armenia,6898248878.0,3.515202551,126.8455368
1964,Azerbaijan,29420997153.0,4.000604339,108.1802041
1964,Bahrain,16101033255.0,3.808078596,3.531110669
1964,Bangladesh,5386054833.0,10.95278855,6.27939513
1964,Bhutan,925869512.9,6.832227605,7.284395103
1964,Brunei Darussalam,6442076505.0,1.555753639,1.460945065
1964,Cambodia,782857128.6,5.600001174,4.398758198
1964,China,59708125204.0,18.17999999,4.773168146
1964,Cyprus,12913632679.0,4.88657026,-0.303336705
1964,Georgia,9834973348.0,2.468894061,12.66676181
1964,India,56480289941.0,7.452950123,13.35526115
1964,Indonesia,334969000000.0,3.529698148,108.994709
1964,"Iran, Islamic Rep.",5379845648.0,8.475228249,3.814489572
1964,Iraq,2340239344.0,7.121138889,-0.09013652
1964,Israel,3405333333.0,7.937191975,5.172750423
1964,Japan,81749006382.0,11.6767082,3.800389453
1964,Jordan,13437231336.0,4.65248636,5.772380507
1964,Kazakhstan,100142000000.0,2.88125,82.35942488
1964,"Korea, Rep.",3459019943.0,9.473824718,29.46283145
1964,Kuwait,54755304666.0,4.153980922,3.995213715
